City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,tuatapere,-46.1333,167.6833,10.97,95,100,2.65,NZ,1681324804
84,port blair,11.6667,92.75,26.93,78,23,2.09,IN,1681324804
85,mar del plata,-38.0023,-57.5575,16.64,57,40,5.66,AR,1681324728
86,vilhena,-12.7406,-60.1458,30.12,62,40,2.06,BR,1681324732
87,sobolevo,54.4299,31.8996,10.56,58,100,4.07,RU,1681324805
88,iquitos,-3.7481,-73.2472,32.02,70,75,2.06,PE,1681324805
89,tres arroyos,-38.3739,-60.2798,15.3,43,81,7.91,AR,1681324806
90,rybachiy,48.7073,44.7449,13.92,47,100,9.69,RU,1681324806
91,gharo,24.7424,67.5856,27.12,54,100,6.66,PK,1681324806
92,avera,33.194,-82.5271,26.62,27,4,3.4,US,1681324806
93,ous,60.9058,61.5186,0.12,91,100,3.22,RU,1681324806
94,chokurdakh,70.6333,147.9167,-19.65,95,100,1.39,RU,1681324807
95,thompson,55.7435,-97.8558,-1.91,86,100,5.14,CA,1681324807
96,kaitangata,-46.2817,169.8464,11.3,93,100,4.79,NZ,1681324807
97,shenjiamen,29.9576,122.298,12.16,78,22,3.13,CN,1681324807
98,tasiilaq,65.6145,-37.6368,2.09,92,70,5.07,GL,1681324808
99,mahebourg,-20.4081,57.7,25.16,88,20,2.06,MU,1681324808
100,saint george,37.1041,-113.5841,27.46,19,0,5.36,US,1681324809
101,barrow,71.2906,-156.7887,-23.99,77,20,4.12,US,1681324809
102,monte alegre de minas,-18.8706,-48.8808,25.87,67,100,2.0,BR,1681324809
103,lucea,18.451,-78.1736,29.92,67,7,1.78,JM,1681324809
104,jamestown,42.097,-79.2353,24.73,40,20,9.77,US,1681324553
105,mount gambier,-37.8333,140.7667,14.89,95,60,3.48,AU,1681324810
106,bredasdorp,-34.5322,20.0403,14.13,77,100,2.38,ZA,1681324810
107,roebourne,-20.7833,117.1333,29.25,67,100,1.63,AU,1681324810
108,great falls,47.5002,-111.3008,7.87,41,100,2.06,US,1681324810
109,hornepayne,49.2138,-84.7705,13.86,81,96,2.05,CA,1681324811
110,bethel,41.3712,-73.414,27.79,29,0,5.14,US,1681324811
111,alindao,5.0267,21.2088,25.98,59,62,1.01,CF,1681324811
112,harer,9.3094,42.1258,17.25,70,69,2.27,ET,1681324811
113,ponta do sol,32.6667,-17.1,20.07,58,6,2.94,PT,1681324812
114,harper,4.375,-7.7169,27.2,84,5,2.9,LR,1681324812
115,novobureyskiy,49.798,129.8774,-0.18,64,100,4.78,RU,1681324813
116,harnosand,62.6323,17.9379,6.0,98,100,7.0,SE,1681324813
117,butaritari,3.0707,172.7902,27.41,73,97,1.95,KI,1681324813
118,lakatoro,-16.0999,167.4164,26.88,83,95,3.23,VU,1681324813
119,mao,39.8885,4.2658,17.31,94,0,3.09,ES,1681324813
120,avarua,-21.2078,-159.775,26.03,78,98,3.6,CK,1681324813
121,areosa,41.7178,-8.8571,12.37,57,78,6.25,PT,1681324814
122,nchelenge,-9.3451,28.734,21.39,85,100,0.89,ZM,1681324814
123,borovskoy,53.8,64.15,6.86,50,3,3.27,KZ,1681324815
124,saskylakh,71.9167,114.0833,-13.47,91,100,7.62,RU,1681324815
125,kenai,60.5544,-151.2583,3.05,84,100,3.09,US,1681324815
126,buribay,51.9617,58.1592,8.39,57,100,2.68,RU,1681324815
127,victoria,22.2855,114.1577,24.03,90,100,1.34,HK,1681324816
128,cabedelo,-6.9811,-34.8339,28.37,76,35,6.97,BR,1681324816
129,eyl,7.9803,49.8164,28.31,72,99,5.96,SO,1681324816
130,pacific grove,36.6177,-121.9166,15.3,71,0,7.2,US,1681324575
131,berlevag,70.8578,29.0864,-2.0,64,0,6.17,NO,1681324817
132,nikolskoye,59.7035,30.7861,8.94,94,32,2.57,RU,1681324818
133,tsumeb,-19.2333,17.7167,24.95,32,67,3.1,NA,1681324818
134,khonsa,27.0167,95.5667,17.22,42,0,2.2,IN,1681324818
135,sistranda,63.7256,8.834,9.98,69,1,10.98,NO,1681324819
136,pangkalanbuun,-2.6833,111.6167,23.52,95,97,1.13,ID,1681324820
137,benguela,-12.5763,13.4055,26.33,83,100,1.72,AO,1681324820
138,pasighat,28.0667,95.3333,21.55,56,0,1.95,IN,1681324820
139,broken hill,-31.95,141.4333,11.48,84,0,4.64,AU,1681324821
140,sisimiut,66.9395,-53.6735,-3.16,86,98,4.23,GL,1681324821
141,bahia blanca,-38.7196,-62.2724,17.68,41,42,4.47,AR,1681324821
142,nastola,60.95,25.9333,4.24,98,100,3.33,FI,1681324821
143,ambon,-3.6954,128.1814,25.08,94,40,1.03,ID,1681324822
144,gambela,8.25,34.5833,26.73,61,100,0.69,ET,1681324822
145,laguna,38.421,-121.4238,16.27,67,100,4.63,US,1681324822
146,bonnyville,54.2668,-110.735,4.89,58,0,3.69,CA,1681324822
147,abha,18.2164,42.5053,17.9,72,0,1.54,SA,1681324823
148,humaita,-7.5061,-63.0208,30.15,66,100,0.46,BR,1681324823
149,allahganj,27.55,79.6833,28.55,22,70,3.65,IN,1681324824
150,kruisfontein,-34.0033,24.7314,16.05,62,100,0.52,ZA,1681324824
151,hirara,24.8,125.2833,23.15,83,75,4.63,JP,1681324582
152,aleksandrov gay,50.147,48.5704,12.91,65,100,10.07,RU,1681324825
153,lorengau,-2.0226,147.2712,27.29,80,97,5.4,PG,1681324825
154,sirnak,37.5228,42.4594,10.04,88,92,1.79,TR,1681324825
155,havelock,34.8791,-76.9013,27.21,40,0,3.58,US,1681324826
156,saint-philippe,-21.3585,55.7679,25.77,83,37,0.52,RE,1681324827
157,williston,48.147,-103.618,12.67,45,92,1.79,US,1681324768
158,olafsvik,64.8945,-23.7142,4.31,73,100,3.81,IS,1681324827
159,progreso,21.2833,-89.6667,31.06,60,2,5.73,MX,1681324561
160,cherskiy,68.75,161.3,-28.36,100,100,2.26,RU,1681324827
161,ginda,30.6945,78.4932,12.98,36,0,3.66,IN,1681324828
162,nouadhibou,20.931,-17.0347,21.99,73,53,5.14,MR,1681324828
163,bambous virieux,-20.3428,57.7575,25.14,88,20,2.06,MU,1681324828
164,tigil,57.8,158.6667,-20.41,100,57,1.02,RU,1681324828
165,davila,18.4726,120.5763,25.99,88,34,7.48,PH,1681324828
166,touros,-5.1989,-35.4608,28.48,74,100,7.1,BR,1681324623
167,yellowknife,62.456,-114.3525,-5.71,73,100,2.57,CA,1681324828
168,vestmannaeyjar,63.4427,-20.2734,8.55,57,0,5.14,IS,1681324829
169,ejura,7.3856,-1.3562,30.4,45,55,2.33,GH,1681324829
170,yatou,37.15,122.3833,8.86,53,93,5.46,CN,1681324829
171,codrington,-38.2667,141.9667,14.83,94,92,1.92,AU,1681324829
172,norman wells,65.282,-126.8329,-2.98,54,75,5.66,CA,1681324829
173,pattani,6.75,100.4167,24.84,94,100,0.59,TH,1681324830
174,kasempa,-13.4584,25.8338,17.83,95,100,2.1,ZM,1681324830
175,matara,5.9485,80.5353,25.76,86,98,3.2,LK,1681324830
176,ola,59.5833,151.2833,-14.92,83,3,3.58,RU,1681324830
177,kodiak,57.79,-152.4072,4.73,56,20,4.12,US,1681324831
178,shelburne,44.0787,-80.2041,24.06,39,0,9.04,CA,1681324831
179,siguiri,11.6667,-9.5,34.87,17,70,1.74,GN,1681324831
180,upernavik,72.7868,-56.1549,-6.17,85,63,3.2,GL,1681324831
181,bintulu,3.1667,113.0333,26.23,94,20,2.06,MY,1681324832
182,saldanha,-33.0117,17.9442,17.03,80,100,4.21,ZA,1681324832
183,loandjili,-4.7561,11.8578,27.18,80,100,2.14,CG,1681324832
184,airai,-8.9266,125.4092,16.15,93,100,1.1,TL,1681324832
185,ilulissat,69.2167,-51.1,-2.99,86,75,3.6,GL,1681324833
186,bathsheba,13.2167,-59.5167,30.34,58,40,8.23,BB,1681324834
187,mbaiki,3.8678,17.9892,22.17,80,67,0.95,CF,1681324834
188,luderitz,-26.6481,15.1594,15.27,76,5,4.58,NA,1681324834
189,sept-iles,50.2001,-66.3821,12.0,62,75,5.14,CA,1681324834
190,chuy,-33.6971,-53.4616,19.08,88,100,5.09,UY,1681324835
191,acapulco,16.8634,-99.8901,31.9,48,0,5.14,MX,1681324692
192,waingapu,-9.6567,120.2641,25.65,87,95,2.59,ID,1681324835
